epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_learning_rate,val_loss,val_top_k_categorical_accuracy
0,0.14383713901042938,0.0010000000474974513,2.434649705886841,0.5827276706695557,NA,NA,NA,NA
1,0.15625,0.0010000000474974513,2.2613472938537598,0.59375,NA,NA,NA,NA
2,0.1910412311553955,0.0010000000474974513,2.1160943508148193,0.6519207954406738,NA,NA,NA,NA
3,0.25,0.0010000000474974513,2.067162275314331,0.65625,NA,NA,NA,NA
4,0.21525511145591736,0.0010000000474974513,2.0418221950531006,0.6918570399284363,NA,NA,NA,NA
5,0.3125,0.0010000000474974513,1.8006629943847656,0.71875,NA,NA,NA,NA
6,0.23420350253582,0.0010000000474974513,2.0026066303253174,0.7091367840766907,NA,NA,NA,NA
7,0.375,0.0010000000474974513,1.6644028425216675,0.84375,NA,NA,NA,NA
8,0.2420646697282791,0.0010000000474974513,1.9803745746612549,0.7238950133323669,NA,NA,NA,NA
9,0.1875,0.0010000000474974513,1.910138726234436,0.71875,NA,NA,NA,NA
10,0.2540788948535919,0.0010000000474974513,1.95436429977417,0.7356496453285217,NA,NA,NA,NA
11,0.25,0.0010000000474974513,2.0699822902679443,0.8125,NA,NA,NA,NA
12,0.2646840810775757,0.0010000000474974513,1.938997745513916,0.7468851804733276,NA,NA,NA,NA
13,0.25,0.0005000000237487257,2.055278778076172,0.75,NA,NA,NA,NA
14,0.293607234954834,0.0005000000237487257,1.8570195436477661,0.7818896174430847,NA,NA,NA,NA
15,0.28125,0.0005000000237487257,1.8603589534759521,0.78125,NA,NA,NA,NA
16,0.30380451679229736,0.0005000000237487257,1.8222732543945312,0.8021358847618103,NA,NA,NA,NA
17,0.25,0.0005000000237487257,1.9069217443466187,0.8125,NA,NA,NA,NA
